14:38:27.264 | Info | '/rest/91/71u8awaeb2pm2m45/crm.lead.add.json' | 
14:38:28.325 | Info | '"message"' | 
14:38:28.327 | Info | '{"API_USER_ID":"alkhidmatweb","PARAMS":{"FIELDS":{"TITLE":"New lead","NAME":"John","EMAIL":[{"VALUE":"mail@example.com","VALUE_TYPE":"WORK"}],"PHONE":[{"VALUE":"555888","VALUE_TYPE":"WORK"}],"UF_CRM_1605363046":"426","UF_CRM_1606121338":"87","UF_CRM_1606121569":"91","UF_CRM_1614769815948":"2","UF_CRM_1614834920":"Hello","OPPORTUNITY":"2000","ADDRESS":"Hey","UF_CRM_1614841133":"Regular"}},"PUNCH_DATE":"11/4/2021","DONATION_REF_NUM":"4D0421248","CENTER_ID":"4","SOURCE":"5","NAME":"John","EMAIL":"mail@example.com","PHONE":"555888","AMOUNT":"2000","METHOD_ID":"91","TYPE_ID":"87","PURPOSE_ID":"426","QUANTITY":"2","PKG":"Hello","FREQUENCY":"Regular","ADDRESS":"Hey"}' | 
14:39:05.910 | Info | '/rest/91/71u8awaeb2pm2m45/crm.lead.add.json' | 
14:39:06.217 | Info | '"message"' | 
14:39:06.218 | Info | '{"API_USER_ID":"alkhidmatweb","PARAMS":{"FIELDS":{"TITLE":"New lead","NAME":"John","EMAIL":[{"VALUE":"mail@example.com","VALUE_TYPE":"WORK"}],"PHONE":[{"VALUE":" 923122428254","VALUE_TYPE":"WORK"}],"UF_CRM_1605363046":"426","UF_CRM_1606121338":"87","UF_CRM_1606121569":"91","UF_CRM_1614769815948":"2","UF_CRM_1614834920":"Hello","OPPORTUNITY":"2000","ADDRESS":"Hey","UF_CRM_1614841133":"Regular"}},"PUNCH_DATE":"11/4/2021","DONATION_REF_NUM":"4D0421250","CENTER_ID":"4","SOURCE":"5","NAME":"John","EMAIL":"mail@example.com","PHONE":" 923122428254","AMOUNT":"2000","METHOD_ID":"91","TYPE_ID":"87","PURPOSE_ID":"426","QUANTITY":"2","PKG":"Hello","FREQUENCY":"Regular","ADDRESS":"Hey"}' | 
14:39:48.612 | Info | '/rest/91/71u8awaeb2pm2m45/crm.lead.add.json' | 
14:39:49.356 | Info | '"message"' | 
14:39:49.358 | Info | '{"API_USER_ID":"alkhidmatweb","PARAMS":{"FIELDS":{"TITLE":"New lead","NAME":"John","EMAIL":[{"VALUE":"mail@example.com","VALUE_TYPE":"WORK"}],"PHONE":[{"VALUE":" 923122428254","VALUE_TYPE":"WORK"}],"UF_CRM_1605363046":"426","UF_CRM_1606121338":"87","UF_CRM_1606121569":"91","UF_CRM_1614769815948":"2","UF_CRM_1614834920":"Hello","OPPORTUNITY":"2000","ADDRESS":"Hey","UF_CRM_1614841133":"Regular"}},"PUNCH_DATE":"11/4/2021","DONATION_REF_NUM":"4D0421252","CENTER_ID":"4","SOURCE":"5","NAME":"John","EMAIL":"mail@example.com","PHONE":" 923122428254","AMOUNT":"2000","METHOD_ID":"91","TYPE_ID":"87","PURPOSE_ID":"426","QUANTITY":"2","PKG":"Hello","FREQUENCY":"Regular","ADDRESS":"Hey"}' | 
14:40:04.829 | Info | '/rest/91/71u8awaeb2pm2m45/crm.lead.add.json' | 
14:40:05.456 | Info | '"message"' | 
14:40:05.456 | Info | '{"API_USER_ID":"alkhidmatweb","PARAMS":{"FIELDS":{"TITLE":"New lead","NAME":"John","EMAIL":[{"VALUE":"mail@example.com","VALUE_TYPE":"WORK"}],"PHONE":[{"VALUE":" 923122428254","VALUE_TYPE":"WORK"}],"UF_CRM_1605363046":"426","UF_CRM_1606121338":"87","UF_CRM_1606121569":"91","UF_CRM_1614769815948":"2","UF_CRM_1614834920":"Hello","OPPORTUNITY":"2000","ADDRESS":"Hey","UF_CRM_1614841133":"Regular"}},"PUNCH_DATE":"11/4/2021","DONATION_REF_NUM":"4D0421254","CENTER_ID":"4","SOURCE":"5","NAME":"John","EMAIL":"mail@example.com","PHONE":" 923122428254","AMOUNT":"2000","METHOD_ID":"91","TYPE_ID":"87","PURPOSE_ID":"426","QUANTITY":"2","PKG":"Hello","FREQUENCY":"Regular","ADDRESS":"Hey"}' | 
14:40:36.745 | Info | '/rest/91/71u8awaeb2pm2m45/crm.lead.add.json' | 
14:40:37.304 | Info | '"message"' | 
14:40:37.306 | Info | '{"API_USER_ID":"alkhidmatweb","PARAMS":{"FIELDS":{"TITLE":"New lead","NAME":"John","EMAIL":[{"VALUE":"mail@example.com","VALUE_TYPE":"WORK"}],"PHONE":[{"VALUE":" 923122428254","VALUE_TYPE":"WORK"}],"UF_CRM_1605363046":"426","UF_CRM_1606121338":"87","UF_CRM_1606121569":"91","UF_CRM_1614769815948":"2","UF_CRM_1614834920":"Hello","OPPORTUNITY":"2000","ADDRESS":"Hey","UF_CRM_1614841133":"Regular"}},"PUNCH_DATE":"11/4/2021","DONATION_REF_NUM":"4D0421256","CENTER_ID":"4","SOURCE":"5","NAME":"John","EMAIL":"mail@example.com","PHONE":" 923122428254","AMOUNT":"2000","METHOD_ID":"91","TYPE_ID":"87","PURPOSE_ID":"426","QUANTITY":"2","PKG":"Hello","FREQUENCY":"Regular","ADDRESS":"Hey"}' | 
14:44:04.333 | Info | '/rest/91/71u8awaeb2pm2m45/crm.lead.add.json' | 
14:44:04.936 | Info | '"message"' | 
